Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 280 0.330227 0.244084 0.208513 0.217176 1 
1 281 0.327468 0.243645 0.210235 0.218653 1 
1 282 0.324592 0.243286 0.211942 0.22018 1 
1 283 0.321631 0.243009 0.213619 0.22174 1 
1 284 0.318618 0.24281 0.215254 0.223318 1 
1 285 0.315584 0.242683 0.216836 0.224897 1 
1 286 0.312565 0.24262 0.218354 0.226461 1 
1 287 0.309594 0.242611 0.2198 0.227995 1 
1 288 0.306702 0.242644 0.221167 0.229487 1 
1 289 0.303922 0.242706 0.222449 0.230922 1 
1 290 0.301281 0.242786 0.223641 0.232291 1 
1 291 0.298806 0.24287 0.22474 0.233584 1 
1 292 0.296519 0.242947 0.225743 0.234792 1 
1 293 0.294438 0.243007 0.226646 0.235908 1 
1 294 0.29258 0.243043 0.227449 0.236928 1 
1 295 0.290955 0.243049 0.228149 0.237847 1 
1 296 0.289571 0.243023 0.228745 0.238662 1 
1 297 0.288432 0.242965 0.229233 0.239371 1 
1 298 0.28754 0.242877 0.22961 0.239972 1 
1 299 0.286892 0.242767 0.229875 0.240466 1 
1 300 0.286484 0.242642 0.230023 0.240851 1 
1 301 0.286311 0.242513 0.230049 0.241126 1 
1 302 0.286365 0.242391 0.229951 0.241293 1 
1 303 0.286638 0.242289 0.229724 0.241349 1 
1 304 0.287122 0.242219 0.229363 0.241296 1 
1 305 0.287809 0.242194 0.228866 0.241132 1 
1 306 0.28869 0.242225 0.228229 0.240856 1 
1 307 0.289759 0.242321 0.227452 0.240468 1 
1 308 0.29101 0.242489 0.226534 0.239967 1 
1 309 0.292435 0.242733 0.225478 0.239353 1 
1 310 0.29403 0.243055 0.224288 0.238627 1 
1 311 0.295789 0.243452 0.222968 0.237791 1 
1 312 0.297707 0.243919 0.221529 0.236845 1 
1 313 0.299776 0.244449 0.219981 0.235794 1 
1 314 0.301991 0.245029 0.218337 0.234642 1 
1 315 0.304343 0.245648 0.216613 0.233396 1 
1 316 0.306821 0.246289 0.214826 0.232064 1 
1 317 0.309413 0.246936 0.212996 0.230655 1 
1 318 0.312105 0.247572 0.211141 0.229181 1 
1 319 0.31488 0.24818 0.209284 0.227655 1 
1 320 0.317719 0.248745 0.207446 0.22609 1 
1 321 0.3206 0.24925 0.205648 0.224501 1 
1 322 0.3235 0.249683 0.203911 0.222906 1 
1 323 0.326393 0.250034 0.202252 0.22132 1 
1 324 0.329254 0.250294 0.200691 0.219761 1 
1 325 0.332054 0.250457 0.199243 0.218246 1 
1 326 0.334768 0.250522 0.19792 0.21679 1 
1 327 0.337367 0.250489 0.196734 0.21541 1 
1 328 0.339827 0.250361 0.195692 0.21412 1 
1 329 0.342123 0.250143 0.1948 0.212934 1 
1 330 0.344233 0.249844 0.19406 0.211863 1 
1 331 0.346137 0.249471 0.193474 0.210917 1 
1 332 0.34782 0.249037 0.193039 0.210105 1 
1 333 0.349267 0.24855 0.192751 0.209432 1 
1 334 0.350468 0.248024 0.192606 0.208903 1 
1 335 0.351416 0.247467 0.192597 0.20852 1 
1 336 0.352108 0.246891 0.192718 0.208283 1 
1 337 0.352542 0.246306 0.19296 0.208192 1 
1 338 0.352721 0.245718 0.193317 0.208244 1 
1 339 0.352649 0.245135 0.193782 0.208434 1 
1 340 0.352333 0.244563 0.194348 0.208757 1 
1 341 0.35178 0.244005 0.195009 0.209207 1 
1 342 0.351001 0.243464 0.19576 0.209775 1 
1 343 0.350006 0.242943 0.196597 0.210455 1 
1 344 0.348806 0.242442 0.197515 0.211237 1 
1 345 0.347414 0.241961 0.198513 0.212112 1 
1 346 0.345841 0.241501 0.199586 0.213071 1 
1 347 0.344101 0.241062 0.200732 0.214105 1 
1 348 0.342206 0.240642 0.201949 0.215203 1 
1 349 0.34017 0.240243 0.203232 0.216355 1 
1 350 0.338005 0.239865 0.204578 0.217552 1 
1 351 0.335725 0.239509 0.205982 0.218784 1 
1 352 0.333345 0.239178 0.207437 0.22004 1 
1 353 0.33088 0.238873 0.208936 0.221311 1 
1 354 0.328346 0.238599 0.21047 0.222586 1 
1 355 0.32576 0.238358 0.212027 0.223855 1 
1 356 0.323141 0.238154 0.213596 0.225109 1 
1 357 0.320508 0.237993 0.215162 0.226337 1 
1 358 0.317882 0.237877 0.216711 0.227529 1 
1 359 0.315285 0.237812 0.218226 0.228676 1 
1 360 0.312741 0.237802 0.21969 0.229767 1 
1 361 0.310273 0.237849 0.221086 0.230792 1 
1 362 0.307906 0.237956 0.222395 0.231744 1 
1 363 0.305664 0.238125 0.223599 0.232612 1 
1 364 0.303572 0.238356 0.224682 0.233389 1 
1 365 0.301655 0.238649 0.225629 0.234068 1 
1 366 0.299935 0.239001 0.226423 0.23464 1 
1 367 0.298434 0.239411 0.227054 0.235102 1 
1 368 0.297171 0.239871 0.22751 0.235448 1 
1 369 0.296163 0.240378 0.227784 0.235675 1 
1 370 0.295424 0.240923 0.227871 0.235782 1 
1 371 0.294964 0.241498 0.227769 0.235769 1 
1 372 0.294792 0.242094 0.227479 0.235636 1 
1 373 0.294909 0.242699 0.227005 0.235387 1 
1 374 0.295315 0.243304 0.226354 0.235027 1 
1 375 0.296005 0.243897 0.225537 0.234562 1 
1 376 0.296969 0.244466 0.224565 0.233999 1 
1 377 0.298196 0.245001 0.223455 0.233347 1 
1 378 0.299667 0.245492 0.222224 0.232618 1 
1 379 0.301363 0.245928 0.220889 0.23182 1 
1 380 0.303261 0.246302 0.219471 0.230966 1 
1 381 0.305335 0.246608 0.217991 0.230066 1 
1 382 0.307559 0.246839 0.216469 0.229133 1 
1 383 0.309903 0.246994 0.214925 0.228177 1 
1 384 0.31234 0.247073 0.213379 0.227209 1 
1 385 0.314839 0.247075 0.211849 0.226237 1 
1 386 0.317372 0.247006 0.210352 0.22527 1 
1 387 0.319913 0.24687 0.208902 0.224314 1 
1 388 0.322436 0.246675 0.207513 0.223376 1 
1 389 0.324917 0.246431 0.206194 0.222458 1 
1 390 0.327337 0.246146 0.204954 0.221563 1 
1 391 0.329678 0.245832 0.203797 0.220693 1 
1 392 0.331924 0.2455 0.202728 0.219847 1 
1 393 0.334065 0.245162 0.201747 0.219026 1 
1 394 0.336092 0.244826 0.200854 0.218228 1 
1 395 0.337999 0.244503 0.200047 0.217451 1 
1 396 0.339783 0.2442 0.199322 0.216694 1 
1 397 0.341443 0.243924 0.198676 0.215957 1 
1 398 0.34298 0.243678 0.198105 0.215238 1 
1 399 0.344395 0.243464 0.197603 0.214537 1 
1 400 0.345693 0.243281 0.197169 0.213858 1 
1 401 0.346874 0.243127 0.196798 0.213201 1 
1 402 0.347944 0.242997 0.196489 0.212571 1 
1 403 0.348902 0.242885 0.196241 0.211972 1 
1 404 0.349751 0.242783 0.196054 0.211412 1 
1 405 0.35049 0.242683 0.195932 0.210896 1 
1 406 0.351115 0.242575 0.195877 0.210434 1 
1 407 0.351622 0.242451 0.195894 0.210033 1 
1 408 0.352006 0.242302 0.19599 0.209702 1 
1 409 0.352256 0.242121 0.196171 0.209451 1 
1 410 0.352363 0.241904 0.196445 0.209288 1 
1 411 0.352316 0.241645 0.196818 0.209221 1 
1 412 0.352101 0.241343 0.197299 0.209257 1 
1 413 0.351705 0.241 0.197892 0.209403 1 
1 414 0.351116 0.240618 0.198605 0.209661 1 
1 415 0.350322 0.240203 0.199438 0.210036 1 
1 416 0.349312 0.239763 0.200395 0.210529 1 
1 417 0.348079 0.239309 0.201474 0.211139 1 
1 418 0.346616 0.238852 0.20267 0.211862 1 
1 419 0.344924 0.238404 0.203977 0.212695 1 
1 420 0.343006 0.237981 0.205384 0.213629 1 
1 421 0.340868 0.237596 0.206879 0.214658 1 
1 422 0.338524 0.237263 0.208444 0.215769 1 
1 423 0.335993 0.236996 0.210061 0.21695 1 
1 424 0.333297 0.236807 0.211709 0.218188 1 
1 425 0.330465 0.236706 0.213362 0.219467 1 
1 426 0.327531 0.236703 0.214996 0.22077 1 
1 427 0.324531 0.236804 0.216584 0.222081 1 
1 428 0.321506 0.237013 0.218099 0.223382 1 
1 429 0.318501 0.23733 0.219515 0.224654 1 
1 430 0.315558 0.237755 0.220806 0.225881 1 
1 431 0.312725 0.238282 0.221948 0.227045 1 
1 432 0.310045 0.238904 0.222921 0.22813 1 
1 433 0.307561 0.239612 0.223705 0.229122 1 
1 434 0.305312 0.240394 0.224287 0.230007 1 
1 435 0.303334 0.241235 0.224657 0.230774 1 
1 436 0.301658 0.24212 0.224807 0.231415 1 
1 437 0.300307 0.243032 0.224738 0.231923 1 
1 438 0.299299 0.243954 0.224453 0.232294 1 
1 439 0.298646 0.244867 0.22396 0.232528 1 
1 440 0.29835 0.245754 0.223271 0.232626 1 
1 441 0.298407 0.246597 0.222403 0.232593 1 
1 442 0.298807 0.247382 0.221376 0.232436 1 
1 443 0.299531 0.248092 0.220212 0.232164 1 
1 444 0.300556 0.248717 0.218937 0.231789 1 
1 445 0.301853 0.249245 0.217578 0.231324 1 
1 446 0.303389 0.24967 0.21616 0.230781 1 
1 447 0.305127 0.249985 0.214711 0.230176 1 
1 448 0.30703 0.250189 0.213257 0.229524 1 
1 449 0.309058 0.250282 0.211821 0.228839 1 
1 450 0.311174 0.250267 0.210425 0.228134 1 
1 451 0.313339 0.250151 0.209088 0.227423 1 
1 452 0.31552 0.249942 0.207824 0.226714 1 
1 453 0.317685 0.249649 0.206647 0.226019 1 
1 454 0.319809 0.249285 0.205563 0.225343 1 
1 455 0.321869 0.248862 0.204577 0.224691 1 
1 456 0.323848 0.248395 0.20369 0.224066 1 
1 457 0.325735 0.247898 0.202899 0.223468 1 
1 458 0.327523 0.247383 0.202198 0.222896 1 
1 459 0.329209 0.246864 0.20158 0.222346 1 
1 460 0.330798 0.246353 0.201035 0.221814 1 
1 461 0.332294 0.24586 0.200551 0.221295 1 
1 462 0.333708 0.245394 0.200117 0.220781 1 
1 463 0.33505 0.244961 0.199722 0.220268 1 
1 464 0.336333 0.244565 0.199353 0.219749 1 
1 465 0.33757 0.244209 0.199003 0.219218 1 
1 466 0.338772 0.243893 0.198662 0.218673 1 
1 467 0.339949 0.243616 0.198325 0.21811 1 
1 468 0.34111 0.243373 0.197989 0.217528 1 
1 469 0.342259 0.243159 0.197654 0.216928 1 
1 470 0.343397 0.24297 0.19732 0.216313 1 
1 471 0.344521 0.242797 0.196994 0.215689 1 
1 472 0.345624 0.242633 0.196683 0.215061 1 
1 473 0.346695 0.242471 0.196396 0.214438 1 
1 474 0.34772 0.242304 0.196145 0.213831 1 
1 475 0.34868 0.242125 0.195944 0.213251 1 
1 476 0.349554 0.241929 0.195806 0.212711 1 
1 477 0.35032 0.24171 0.195746 0.212223 1 
1 478 0.350955 0.241466 0.195779 0.2118 1 
1 479 0.351435 0.241193 0.195916 0.211456 1 
1 480 0.351736 0.240892 0.196171 0.211201 1 
1 481 0.35184 0.240562 0.196552 0.211047 1 
1 482 0.351728 0.240204 0.197066 0.211002 1 
1 483 0.351388 0.239822 0.197718 0.211072 1 
1 484 0.35081 0.239419 0.198507 0.211264 1 
1 485 0.349992 0.239 0.199431 0.211577 1 
1 486 0.348936 0.238571 0.200481 0.212012 1 
1 487 0.347651 0.238137 0.201647 0.212564 1 
1 488 0.346151 0.237705 0.202915 0.213228 1 
1 489 0.344458 0.237283 0.204266 0.213993 1 
1 490 0.342596 0.236877 0.205679 0.214848 1 
1 491 0.340595 0.236494 0.207131 0.215779 1 
1 492 0.33849 0.236143 0.208596 0.216771 1 
1 493 0.336317 0.235831 0.210048 0.217805 1 
1 494 0.334114 0.235563 0.211459 0.218864 1 
1 495 0.331921 0.235348 0.212802 0.219929 1 
1 496 0.329773 0.235191 0.214054 0.220982 1 
1 497 0.327709 0.235099 0.215188 0.222004 1 
1 498 0.32576 0.235074 0.216186 0.22298 1 
1 499 0.323955 0.235122 0.217029 0.223894 1 
1 500 0.322319 0.235246 0.217703 0.224732 1 
1 501 0.320872 0.235445 0.218198 0.225486 1 
1 502 0.319625 0.235721 0.218509 0.226145 1 
1 503 0.318587 0.236072 0.218635 0.226706 1 
1 504 0.31776 0.236494 0.21858 0.227166 1 
1 505 0.317139 0.236983 0.218353 0.227525 1 
1 506 0.316718 0.237531 0.217965 0.227786 1 
1 507 0.316483 0.238132 0.217432 0.227954 1 
